season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score
2017,28,Wake Forest,ACC,1828.4,8,5,13,0.615,8-5,NC State,1919.9,1682.8,NA,2026-05-24T09:10:53Z,12264.4
2017,29,Louisville,ACC,1827.2,8,5,13,0.615,8-5,Purdue,1822.8,1604.7,NA,2026-05-24T09:10:53Z,11041.8
2017,30,Purdue,Big Ten,1822.8,7,6,13,0.538,7-6,Iowa,1947.4,1674.7,NA,2026-05-24T09:10:53Z,10997.7
2017,31,Iowa State,Big 12,1820.8,8,5,13,0.615,8-5,Oklahoma,2246.5,1612.4,NA,2026-05-24T09:10:53Z,11963.1
2017,32,FAU,C-USA,1810.2,11,3,14,0.786,11-3,LA Tech,1531.8,1357.1,NA,2026-05-24T09:10:53Z,13606.9
2017,33,Boise St,Mountain West,1807,11,3,14,0.786,11-3,Fresno State,1784.6,1473.3,NA,2026-05-24T09:10:53Z,15656.2
2017,34,Boston College,ACC,1805.9,7,6,13,0.538,7-6,Louisville,1827.2,1730.2,NA,2026-05-24T09:10:53Z,10615.2
2017,35,Fresno State,Mountain West,1784.6,10,4,14,0.714,10-4,Boise St,1807,1404.2,NA,2026-05-24T09:10:53Z,12363.2
2017,36,Duke,ACC,1775,7,6,13,0.538,7-6,Northwestern,2017.2,1553.6,NA,2026-05-24T09:10:53Z,9600.5
2017,37,Texas,Big 12,1772.5,7,6,13,0.538,7-6,Iowa State,1820.8,1597.6,NA,2026-05-24T09:10:53Z,9459.9
2017,38,JMU,FCS,1772,14,1,15,0.933,14-1,South Dakota St,1517.7,900.5,NA,2026-05-24T09:10:53Z,11752.2
2017,39,FSU,ACC,1756.3,7,6,13,0.538,7-6,Wake Forest,1828.4,1678.8,NA,2026-05-24T09:10:53Z,9530.7
2017,40,North Dakota St,FCS,1754.7,14,1,15,0.933,14-1,JMU,1772,927.4,NA,2026-05-24T09:10:53Z,12393.7
2017,41,Army,Independent,1754.4,10,3,13,0.769,10-3,Duke,1775,1353.8,NA,2026-05-24T09:10:53Z,12428
2017,42,Georgia Tech,ACC,1730.1,5,6,11,0.455,5-6,Virginia Tech,1830.9,1762.7,NA,2026-05-24T09:10:53Z,8146.4
2017,43,Kansas State,Big 12,1728.7,8,5,13,0.615,8-5,Oklahoma State,1942.5,1517,NA,2026-05-24T09:10:53Z,10648.1
2017,44,Texas A&M,SEC,1703.4,7,6,13,0.538,7-6,South Carolina,1857.8,1634.2,NA,2026-05-24T09:10:53Z,9321.4
2017,45,Navy,AAC,1698,7,6,13,0.538,7-6,FAU,1810.2,1659.6,NA,2026-05-24T09:10:53Z,10060.5
2017,46,Troy,Sun Belt,1681.6,11,2,13,0.846,11-2,LSU,1919.7,1223.8,NA,2026-05-24T09:10:53Z,13109
2017,47,Pitt,ACC,1678.4,5,7,12,0.417,5-7,Miami,2061.3,1644.1,NA,2026-05-24T09:10:53Z,7249.2
2017,48,Washington St,Pac-12,1671,9,4,13,0.692,9-4,USC,2007.1,1561.7,NA,2026-05-24T09:10:53Z,13314.7
2017,49,Utah,Pac-12,1660.7,7,6,13,0.538,7-6,West Virginia,1607.4,1525.5,NA,2026-05-24T09:10:53Z,8955.3
2017,50,Arizona State,Pac-12,1660.3,7,6,13,0.538,7-6,Washington,1923.1,1612.9,NA,2026-05-24T09:10:53Z,10334.6
2017,51,Kentucky,SEC,1659.8,7,6,13,0.538,7-6,South Carolina,1857.8,1595.6,NA,2026-05-24T09:10:53Z,9434.3
2017,52,Missouri,SEC,1647.1,7,6,13,0.538,7-6,Florida,1503.5,1566.8,NA,2026-05-24T09:10:53Z,8680.5
2017,53,Temple,AAC,1643.8,7,6,13,0.538,7-6,Navy,1698,1559.9,NA,2026-05-24T09:10:53Z,9278.9
2017,54,Oregon,Pac-12,1641.1,7,6,13,0.538,7-6,Utah,1660.7,1518.8,NA,2026-05-24T09:10:53Z,9168.3
2017,55,Houston,AAC,1634.8,7,5,12,0.583,7-5,USF,1859.1,1535.8,NA,2026-05-24T09:10:53Z,10392.7
2017,56,Ole Miss,SEC,1633.9,6,6,12,0.5,6-6,Miss St,1990.7,1590.6,NA,2026-05-24T09:10:53Z,7891.1
2017,57,San Diego State,Mountain West,1633.7,10,3,13,0.769,10-3,Stanford,1973.6,1353,NA,2026-05-24T09:10:53Z,12243.2
2017,58,Appalachian St,Sun Belt,1632.1,9,4,13,0.692,9-4,Toledo,1562.5,1200,NA,2026-05-24T09:10:53Z,9225.7
2017,59,Indiana,Big Ten,1609,5,7,12,0.417,5-7,UVA,1515,1674.8,NA,2026-05-24T09:10:53Z,6150.1
2017,60,West Virginia,Big 12,1607.4,7,6,13,0.538,7-6,Iowa State,1820.8,1565.9,NA,2026-05-24T09:10:53Z,8907.9
2017,61,Minnesota,Big Ten,1573.6,5,7,12,0.417,5-7,Nebraska,1406,1640.8,NA,2026-05-24T09:10:53Z,6212.7
2017,62,Toledo,MAC,1562.5,11,3,14,0.786,11-3,N Illinois,1424.4,1315.6,NA,2026-05-24T09:10:53Z,13171.1
2017,63,Texas Tech,Big 12,1558.6,6,7,13,0.462,6-7,Texas,1772.5,1635,NA,2026-05-24T09:10:53Z,8054.1
2017,64,Maryland,Big Ten,1557.6,4,8,12,0.333,4-8,Texas,1772.5,1853.8,NA,2026-05-24T09:10:53Z,5834.7
2017,65,Arizona,Pac-12,1555.9,7,6,13,0.538,7-6,Washington St,1671,1480.8,NA,2026-05-24T09:10:53Z,8823.5
2017,66,Ohio,MAC,1554.1,9,4,13,0.692,9-4,Toledo,1562.5,1189.7,NA,2026-05-24T09:10:53Z,9530.4
2017,67,UCLA,Pac-12,1540.7,6,7,13,0.462,6-7,Texas A&M,1703.4,1665.9,NA,2026-05-24T09:10:53Z,8851.8
2017,68,LA Tech,C-USA,1531.8,7,6,13,0.538,7-6,SMU,1468.5,1279.3,NA,2026-05-24T09:10:53Z,6980.2
2017,69,Wyoming,Mountain West,1531,8,5,13,0.615,8-5,Cent Michigan,1397,1296.1,NA,2026-05-24T09:10:53Z,8874.6
2017,70,California,Pac-12,1521.5,5,7,12,0.417,5-7,Washington St,1671,1559.7,NA,2026-05-24T09:10:53Z,6664.9
2017,71,South Dakota St,FCS,1517.7,2,1,3,0.667,2-1,North Dakota St,1754.7,1417.6,NA,2026-05-24T09:10:53Z,2480.8
2017,72,UVA,ACC,1515,6,7,13,0.462,6-7,Boise St,1807,1621.5,NA,2026-05-24T09:10:53Z,8568.3
2017,73,Florida,SEC,1503.5,4,7,11,0.364,4-7,Kentucky,1659.8,1703.2,NA,2026-05-24T09:10:53Z,5666.1
