season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr,baseline_elo,baseline_date,elo_change
2026,120,Oregon St,Pac-12,586,1,2,3,0.333,1-2,Montana,113.4,696.3,NA,2026-09-26T11:31:45Z,0,302.9,586,2026-09-26,0
2026,121,UT Martin,FCS,583.6,0,2,2,0,0-2,NA,NA,1146,NA,2026-09-26T11:31:45Z,0,36.8,583.4,2026-09-26,0.2
2026,122,Fordham,FCS,578.2,0,2,2,0,0-2,NA,NA,1309,NA,2026-09-26T11:31:45Z,0,36.5,364.6,2026-09-20,213.6
2026,123,Arkansas,SEC,571.7,1,2,3,0.333,1-2,North Alabama,127.1,747.9,NA,2026-09-26T11:31:45Z,0,295.6,572.8,2026-09-20,-1.1
2026,124,UTEP,Mountain West,565.2,1,2,3,0.333,1-2,Texas Southern,102.4,773.5,NA,2026-09-26T11:31:45Z,0,292.2,565.2,2026-09-26,0
2026,125,Wagner,FCS,558.9,0,2,2,0,0-2,NA,NA,1176.2,NA,2026-09-26T11:31:45Z,0,35.3,452.6,2026-09-26,106.3
2026,126,Howard,FCS,550.3,0,2,2,0,0-2,NA,NA,1269.7,NA,2026-09-26T11:31:45Z,0,34.7,163.7,2026-09-26,386.6
2026,127,Kansas,Big 12,547.2,1,2,3,0.333,1-2,Long Island,111.6,662.6,NA,2026-09-26T11:31:45Z,0,282.9,547.2,2026-09-26,0
2026,128,Hawai'i,Mountain West,524.5,1,2,3,0.333,1-2,New Mexico St,458.2,587.9,NA,2026-09-26T11:31:45Z,0,271.2,510.4,2026-09-20,14.1
2026,129,Missouri St,C-USA,523.7,1,2,3,0.333,1-2,Lindenwood,100.6,639.1,NA,2026-09-26T11:31:45Z,0,270.7,601,2026-09-20,-77.3
2026,130,Kent State,MAC,515.5,1,2,3,0.333,1-2,Wofford,105.6,697.1,NA,2026-09-26T11:31:45Z,0,266.5,515.5,2026-09-26,0
2026,131,Idaho St,FCS,507.1,1,0,1,1,1-0,Utah State,266.5,266.5,NA,2026-09-26T11:31:45Z,0,507.1,506,2026-09-20,1.1
2026,132,Arkansas St,Sun Belt,500,0,2,2,0,0-2,NA,NA,924.5,NA,2026-09-26T11:31:45Z,0,31.5,145.7,2026-09-20,354.3
2026,133,Maine,FCS,492.7,0,2,2,0,0-2,NA,NA,1000,NA,2026-09-26T11:31:45Z,0,31.1,450.3,2026-09-20,42.4
2026,134,Akron,MAC,481.1,1,2,3,0.333,1-2,Robert Morris,91.1,609.4,NA,2026-09-26T11:31:45Z,0,248.7,480.2,2026-09-25,0.9
2026,135,Buffalo,MAC,479.7,1,2,3,0.333,1-2,UAlbany,142.8,719,NA,2026-09-26T11:31:45Z,0,248,465.1,2026-09-25,14.6
2026,136,Nevada,Mountain West,475.7,1,2,3,0.333,1-2,Western KY,285.9,585.2,NA,2026-09-26T11:31:45Z,0,245.9,537.5,2026-09-20,-61.8
2026,137,Kennesaw St,C-USA,463.5,0,2,2,0,0-2,NA,NA,919.1,NA,2026-09-26T11:31:45Z,0,29.2,165.4,2026-09-20,298.1
2026,138,Southern Miss,Sun Belt,458.8,1,2,3,0.333,1-2,Alcorn St,86.8,594.6,NA,2026-09-26T11:31:45Z,0,237.2,639.9,2026-09-20,-181.1
2026,139,New Mexico St,C-USA,458.2,1,2,3,0.333,1-2,Mercyhurst,261,502.7,NA,2026-09-26T11:31:45Z,0,236.9,478.1,2026-09-20,-19.9
2026,140,Tarleton St,FCS,449.1,1,0,1,1,1-0,Bowling Green,232.8,232.8,NA,2026-09-26T11:31:45Z,0,449.1,449.1,2026-09-26,0
2026,141,UL Monroe,Sun Belt,439.4,0,3,3,0,0-3,NA,NA,907.7,NA,2026-09-26T11:31:45Z,0,27.7,437.1,2026-09-20,2.3
2026,142,Wyoming,Mountain West,431.3,1,2,3,0.333,1-2,N Colorado,116.4,548.4,NA,2026-09-26T11:31:45Z,0,223,477.6,2026-09-20,-46.3
2026,143,Murray St,FCS,426.3,0,2,2,0,0-2,NA,NA,926.3,NA,2026-09-26T11:31:45Z,0,26.9,142.1,2026-09-20,284.2
2026,144,Illinois St,FCS,409.8,1,0,1,1,1-0,N Illinois,257.7,257.7,NA,2026-09-26T11:31:45Z,0,409.8,430.7,2026-09-20,-20.9
2026,145,Charlotte,AAC,385.3,0,3,3,0,0-3,NA,NA,917.2,NA,2026-09-26T11:31:45Z,0,24.3,391.8,2026-09-20,-6.5
2026,146,The Citadel,FCS,378.2,1,0,1,1,1-0,Charlotte,385.3,385.3,NA,2026-09-26T11:31:45Z,0,378.2,381,2026-09-20,-2.8
2026,147,Towson,FCS,374.7,0,2,2,0,0-2,NA,NA,795.9,NA,2026-09-26T11:31:45Z,0,23.6,394.3,2026-09-20,-19.6
2026,148,Nicholls,FCS,366.5,0,2,2,0,0-2,NA,NA,942,NA,2026-09-26T11:31:45Z,0,23.1,159.4,2026-09-20,207.1
2026,149,Norfolk St,FCS,365.5,0,2,2,0,0-2,NA,NA,797.9,NA,2026-09-26T11:31:45Z,0,23.1,413.5,2026-09-20,-48
2026,150,Portland St,FCS,363.8,0,2,2,0,0-2,NA,NA,861.8,NA,2026-09-26T11:31:45Z,0,23,350.1,2026-09-20,13.7
2026,151,Duquesne,FCS,327,0,2,2,0,0-2,NA,NA,788.8,NA,2026-09-26T11:31:45Z,0,20.6,327,2026-09-26,0
2026,152,Western KY,C-USA,285.9,0,3,3,0,0-3,NA,NA,1069.7,NA,2026-09-26T11:31:45Z,0,18,328.4,2026-09-20,-42.5
2026,153,Utah State,Pac-12,266.5,0,3,3,0,0-3,NA,NA,865.4,NA,2026-09-26T11:31:45Z,0,16.8,264.1,2026-09-20,2.4
2026,154,Mercyhurst,FCS,261,0,2,2,0,0-2,NA,NA,679.9,NA,2026-09-26T11:31:45Z,0,16.5,286.8,2026-09-20,-25.8
2026,155,N Illinois,Mountain West,257.7,0,3,3,0,0-3,NA,NA,756.3,NA,2026-09-26T11:31:45Z,0,16.3,322.7,2026-09-20,-65
2026,156,Bowling Green,MAC,232.8,0,3,3,0,0-3,NA,NA,782.1,NA,2026-09-26T11:31:45Z,0,14.7,232.8,2026-09-26,0
2026,157,Gardner-Webb,FCS,185.8,0,1,1,0,0-1,NA,NA,1268.4,NA,2026-09-26T11:31:45Z,0,11.7,185.8,2026-09-26,0
2026,158,Cal Poly,FCS,181.3,0,1,1,0,0-1,NA,NA,1143.1,NA,2026-09-26T11:31:45Z,0,11.4,165,2026-09-20,16.3
2026,159,E Kentucky,FCS,177.5,0,1,1,0,0-1,NA,NA,1153.6,NA,2026-09-26T11:31:45Z,0,11.2,115.4,2026-09-20,62.1
2026,160,Stonehill,FCS,174,0,1,1,0,0-1,NA,NA,1223.4,NA,2026-09-26T11:31:45Z,0,11,167.5,2026-09-26,6.5
2026,161,Rhode Island,FCS,171.8,0,1,1,0,0-1,NA,NA,782.1,NA,2026-09-26T11:31:45Z,0,10.8,135.3,2026-09-20,36.5
2026,162,Sacred Heart,FCS,171.7,0,1,1,0,0-1,NA,NA,1223.4,NA,2026-09-26T11:31:45Z,0,10.8,164.7,2026-09-20,7
2026,163,South Dakota,FCS,170.2,0,1,1,0,0-1,NA,NA,1080.1,NA,2026-09-26T11:31:45Z,0,10.7,1500,2026-09-20,-1329.8
2026,164,North Dakota,FCS,168.8,0,1,1,0,0-1,NA,NA,1070.4,NA,2026-09-26T11:31:45Z,0,10.7,1500,2026-09-20,-1331.2
2026,165,Campbell,FCS,167,0,1,1,0,0-1,NA,NA,1234.1,NA,2026-09-26T11:31:45Z,0,10.5,163.9,2026-09-20,3.1
2026,166,East Texas A&M,FCS,167,0,1,1,0,0-1,NA,NA,1180.8,NA,2026-09-26T11:31:45Z,0,10.5,1500,2026-09-20,-1333
2026,167,Austin Peay,FCS,166.5,0,1,1,0,0-1,NA,NA,1147.4,NA,2026-09-26T11:31:45Z,0,10.5,166.1,2026-09-20,0.4
2026,168,Delaware St,FCS,165.8,0,1,1,0,0-1,NA,NA,1128,NA,2026-09-26T11:31:45Z,0,10.5,1500,2026-09-20,-1334.2
2026,169,S Dakota St,FCS,165.8,0,1,1,0,0-1,NA,NA,1050.1,NA,2026-09-26T11:31:45Z,0,10.5,14.7,2026-09-20,151.1
2026,170,S Illinois,FCS,165.3,0,1,1,0,0-1,NA,NA,1077.8,NA,2026-09-26T11:31:45Z,0,10.4,155.3,2026-09-26,10
2026,171,Florida A&M,FCS,165.2,0,1,1,0,0-1,NA,NA,1195.4,NA,2026-09-26T11:31:45Z,0,10.4,165.2,2026-09-25,0
2026,172,W Carolina,FCS,164.6,0,1,1,0,0-1,NA,NA,1171.5,NA,2026-09-26T11:31:45Z,0,10.4,163.8,2026-09-20,0.8
2026,173,E Washington,FCS,164.3,0,1,1,0,0-1,NA,NA,1029,NA,2026-09-26T11:31:45Z,0,10.4,1500,2026-09-20,-1335.7
2026,174,Abilene Chrstn,FCS,164,0,1,1,0,0-1,NA,NA,1068.7,NA,2026-09-26T11:31:45Z,0,10.3,163.4,2026-09-20,0.6
2026,175,Northern Iowa,FCS,164,0,1,1,0,0-1,NA,NA,1059.3,NA,2026-09-26T11:31:45Z,0,10.3,1500,2026-09-20,-1336
2026,176,Colgate,FCS,163.6,0,1,1,0,0-1,NA,NA,700.6,NA,2026-09-26T11:31:45Z,0,10.3,163.6,2026-09-26,0
2026,177,AR-Pine Bluff,FCS,163.5,0,1,1,0,0-1,NA,NA,1132.5,NA,2026-09-26T11:31:45Z,0,10.3,163.5,2026-09-25,0
2026,178,Utah Tech,FCS,163,0,1,1,0,0-1,NA,NA,1196.5,NA,2026-09-26T11:31:45Z,0,10.3,157.2,2026-09-20,5.8
2026,179,Lamar,FCS,162.3,0,1,1,0,0-1,NA,NA,1105.3,NA,2026-09-26T11:31:45Z,0,10.2,140.8,2026-09-20,21.5
2026,180,Miss Valley St,FCS,162.3,0,1,1,0,0-1,NA,NA,744.2,NA,2026-09-26T11:31:45Z,0,10.2,85.3,2026-09-20,77
2026,181,VMI,FCS,161.8,0,1,1,0,0-1,NA,NA,1204.2,NA,2026-09-26T11:31:45Z,0,10.2,157.6,2026-09-20,4.2
2026,182,Furman,FCS,161.7,0,1,1,0,0-1,NA,NA,1085.4,NA,2026-09-26T11:31:45Z,0,10.2,158.5,2026-09-20,3.2
2026,183,Idaho,FCS,161,0,1,1,0,0-1,NA,NA,1060.2,NA,2026-09-26T11:31:45Z,0,10.2,161,2026-09-25,0
2026,184,W Illinois,FCS,160,0,1,1,0,0-1,NA,NA,1073.3,NA,2026-09-26T11:31:45Z,0,10.1,156.6,2026-09-20,3.4
2026,185,Tennessee St,FCS,159.9,0,1,1,0,0-1,NA,NA,1056.5,NA,2026-09-26T11:31:45Z,0,10.1,160,2026-09-20,-0.1
2026,186,ETSU,FCS,159.8,0,1,1,0,0-1,NA,NA,949,NA,2026-09-26T11:31:45Z,0,10.1,152.7,2026-09-26,7.1
2026,187,Merrimack,FCS,158.2,0,1,1,0,0-1,NA,NA,982.7,NA,2026-09-26T11:31:45Z,0,10,152.2,2026-09-25,6
2026,188,Alabama St,FCS,157.1,0,1,1,0,0-1,NA,NA,827.6,NA,2026-09-26T11:31:45Z,0,9.9,161.9,2026-09-20,-4.8
2026,189,Youngstown St,FCS,156.6,0,1,1,0,0-1,NA,NA,994.1,NA,2026-09-26T11:31:45Z,0,9.9,156.6,2026-09-26,0
2026,190,Prairie View,FCS,154.8,0,1,1,0,0-1,NA,NA,930.4,NA,2026-09-26T11:31:45Z,0,9.8,145,2026-09-20,9.8
2026,191,Monmouth,FCS,154.6,0,1,1,0,0-1,NA,NA,919.9,NA,2026-09-26T11:31:45Z,0,9.8,146.7,2026-09-20,7.9
2026,192,Villanova,FCS,154.2,0,1,1,0,0-1,NA,NA,991.4,NA,2026-09-26T11:31:45Z,0,9.7,153.9,2026-09-26,0.3
2026,193,SE Missouri,FCS,154.1,0,1,1,0,0-1,NA,NA,826.7,NA,2026-09-26T11:31:45Z,0,9.7,154.1,2026-09-26,0
2026,194,Southern,FCS,154.1,0,1,1,0,0-1,NA,NA,906.7,NA,2026-09-26T11:31:45Z,0,9.7,152,2026-09-20,2.1
2026,195,Southern Utah,FCS,154,0,1,1,0,0-1,NA,NA,828.3,NA,2026-09-26T11:31:45Z,0,9.7,162,2026-09-20,-8
2026,196,Bryant,FCS,153.9,0,1,1,0,0-1,NA,NA,951,NA,2026-09-26T11:31:45Z,0,9.7,138.5,2026-09-26,15.4
2026,197,Bethune,FCS,153.8,0,1,1,0,0-1,NA,NA,982.5,NA,2026-09-26T11:31:45Z,0,9.7,153.7,2026-09-25,0.1
2026,198,Hampton,FCS,153.2,0,1,1,0,0-1,NA,NA,967,NA,2026-09-26T11:31:45Z,0,9.7,158.1,2026-09-20,-4.9
2026,199,N Arizona,FCS,150.7,0,1,1,0,0-1,NA,NA,799.9,NA,2026-09-26T11:31:45Z,0,9.5,138.2,2026-09-20,12.5
2026,200,E Illinois,FCS,149.3,0,1,1,0,0-1,NA,NA,862.7,NA,2026-09-26T11:31:45Z,0,9.4,149.2,2026-09-25,0.1
