season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2009,152,Albacete,La Liga 2,1452.9,13,17,30,0.433,13-17,Vallecano,1617.6,1520.3,2026-05-20T21:13:26Z,12,ESP
2009,153,Chateauroux,Ligue 2,1452.3,11,16,27,0.407,11-16,Boulogne,1599.3,1496.1,2026-05-20T21:13:26Z,11,FRA
2009,154,Academica,Primeira Liga,1451.2,10,11,21,0.476,10-11,Benfica,1720.4,1466.9,2026-05-20T21:13:26Z,9,POR
2009,155,Sochaux,Ligue 1,1450.1,10,16,26,0.385,10-16,Marseille,1760.5,1521.8,2026-05-20T21:13:26Z,12,FRA
2009,156,Ankaragucu,Süper Lig,1447,11,17,28,0.393,11-17,Fenerbahce,1685.7,1502.9,2026-05-20T21:13:26Z,6,TUR
2009,157,Genk,Pro League,1446.9,15,14,29,0.517,15-14,Gent,1675.5,1493.7,2026-05-20T21:13:26Z,5,BEL
2009,158,Siena,Serie A,1442.5,12,18,30,0.4,12-18,Fiorentina,1608.9,1524.9,2026-05-20T21:13:26Z,8,ITA
2009,159,Brest,Ligue 2,1440.4,12,20,32,0.375,12-20,Metz,1628.2,1505.2,2026-05-20T21:13:26Z,6,FRA
2009,160,Blackpool,Championship,1438.8,13,16,29,0.448,13-16,Birmingham,1678.4,1507.8,2026-05-20T21:13:26Z,17,ENG
2009,161,Nimes,Ligue 2,1438.4,11,16,27,0.407,11-16,Montpellier,1652.2,1501.2,2026-05-20T21:13:26Z,11,FRA
2009,162,Mouscron,Pro League,1436.4,12,14,26,0.462,12-14,Gent,1675.5,1516.7,2026-05-20T21:13:26Z,8,BEL
2009,163,Reims,Ligue 2,1436.2,8,15,23,0.348,8-15,Boulogne,1599.3,1493,2026-05-20T21:13:26Z,15,FRA
2009,164,Celta,La Liga 2,1436.1,10,14,24,0.417,10-14,Hercules,1785.2,1525.6,2026-05-20T21:13:26Z,18,ESP
2009,165,Antalyaspor,Süper Lig,1435.5,10,14,24,0.417,10-14,Sivasspor,1703,1518.6,2026-05-20T21:13:26Z,10,TUR
2009,166,Osasuna,La Liga,1435.4,10,15,25,0.4,10-15,Barcelona,1894.5,1497.7,2026-05-20T21:13:26Z,13,ESP
2009,167,Huesca,La Liga 2,1434.6,13,15,28,0.464,13-15,Levante,1542.6,1476.8,2026-05-20T21:13:26Z,14,ESP
2009,168,Nott'm Forest,Championship,1434.5,13,19,32,0.406,13-19,Reading,1670.7,1501.3,2026-05-20T21:13:26Z,14,ENG
2009,169,Betis,La Liga,1432.2,10,16,26,0.385,10-16,Sevilla,1643.8,1498.1,2026-05-20T21:13:26Z,12,ESP
2009,170,Denizlispor,Süper Lig,1432,11,18,29,0.379,11-18,Trabzonspor,1648.4,1527.4,2026-05-20T21:13:26Z,5,TUR
2009,171,Monaco,Ligue 1,1431.2,11,15,26,0.423,11-15,Toulouse,1715.5,1502.9,2026-05-20T21:13:26Z,12,FRA
2009,172,Est Amadora,Primeira Liga,1430.2,8,12,20,0.4,8-12,Nacional,1618.8,1563.7,2026-05-20T21:13:26Z,10,POR
