season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2020,38,Sp Braga,Primeira Liga,1659.1,18,10,28,0.643,18-10,Porto,1924.5,1496.2,2026-05-21T19:19:50Z,6,POR
2020,39,Antwerp,Pro League,1654.7,15,6,21,0.714,15-6,Club Brugge,2037.1,1481.6,2026-05-21T19:19:50Z,8,BEL
2020,40,Rennes,Ligue 1,1653.9,15,8,23,0.652,15-8,Paris SG,1941.7,1481.3,2026-05-21T19:19:50Z,5,FRA
2020,41,Lens,Ligue 2,1644.7,15,5,20,0.75,15-5,Ajaccio,1663.2,1470.7,2026-05-21T19:19:50Z,8,FRA
2020,42,Clermont,Ligue 2,1643.3,14,6,20,0.7,14-6,Lorient,1628,1471.6,2026-05-21T19:19:50Z,8,FRA
2020,43,Alanyaspor,Süper Lig,1636.3,16,9,25,0.64,16-9,Galatasaray,1599.1,1476.1,2026-05-21T19:19:50Z,9,TUR
2020,44,Sp Lisbon,Primeira Liga,1630.5,18,10,28,0.643,18-10,Sp Braga,1659.1,1495.8,2026-05-21T19:19:50Z,6,POR
2020,45,Fulham,Championship,1629.7,23,11,34,0.676,23-11,Leeds,1730.6,1490.5,2026-05-21T19:19:50Z,12,ENG
2020,46,Besiktas,Süper Lig,1628,19,10,29,0.655,19-10,Alanyaspor,1636.3,1481.6,2026-05-21T19:19:50Z,5,TUR
2020,47,Lorient,Ligue 2,1628,17,8,25,0.68,17-8,Clermont,1643.3,1486.7,2026-05-21T19:19:50Z,3,FRA
2020,48,Tottenham,Premier League,1625.5,16,11,27,0.593,16-11,Man City,1790,1508.6,2026-05-21T19:19:50Z,11,ENG
2020,49,Napoli,Serie A,1625.2,18,12,30,0.6,18-12,Juventus,1715.3,1493.7,2026-05-21T19:19:50Z,8,ITA
2020,50,Le Havre,Ligue 2,1624.4,11,6,17,0.647,11-6,Lens,1644.7,1477,2026-05-21T19:19:50Z,11,FRA
2020,51,Lille,Ligue 1,1620.9,15,9,24,0.625,15-9,Rennes,1653.9,1509.9,2026-05-21T19:19:50Z,4,FRA
2020,52,Utrecht,Eredivisie,1617.2,12,8,20,0.6,12-8,PSV Eindhoven,1715.1,1457.2,2026-05-21T19:19:50Z,5,NED
2020,53,Leverkusen,2. Bundesliga,1615.7,19,9,28,0.679,19-9,Bayern Munich,1914.4,1483.2,2026-05-21T19:19:50Z,6,GER
2020,54,Roma,Serie A,1613.1,21,10,31,0.677,21-10,Milan,1738.2,1462.9,2026-05-21T19:19:50Z,7,ITA
2020,55,Troyes,Ligue 2,1612.7,16,9,25,0.64,16-9,Ajaccio,1663.2,1500.8,2026-05-21T19:19:50Z,3,FRA
2020,56,Spezia,Serie B,1607.5,17,11,28,0.607,17-11,Crotone,1675.1,1494.3,2026-05-21T19:19:50Z,10,ITA
2020,57,Vallecano,La Liga 2,1603.8,13,8,21,0.619,13-8,Huesca,1593.3,1484.6,2026-05-21T19:19:50Z,21,ESP
2020,58,Arsenal,Premier League,1603.6,14,10,24,0.583,14-10,Liverpool,1865,1511.2,2026-05-21T19:19:50Z,14,ENG
2020,59,Rio Ave,Primeira Liga,1601,15,9,24,0.625,15-9,Sp Braga,1659.1,1483.7,2026-05-21T19:19:50Z,10,POR
2020,60,Galatasaray,Süper Lig,1599.1,15,8,23,0.652,15-8,Alanyaspor,1636.3,1482.9,2026-05-21T19:19:50Z,11,TUR
2020,61,Chelsea,Premier League,1598.6,20,12,32,0.625,20-12,Man City,1790,1494.9,2026-05-21T19:19:50Z,6,ENG
2020,62,Willem II,Eredivisie,1598.5,13,8,21,0.619,13-8,Ajax,1770.9,1527,2026-05-21T19:19:50Z,5,NED
2020,63,Anderlecht,Pro League,1597.2,11,8,19,0.579,11-8,Charleroi,1714.6,1483,2026-05-21T19:19:50Z,10,BEL
2020,64,Chievo,Serie B,1596.9,14,10,24,0.583,14-10,Benevento,1774.1,1484.5,2026-05-21T19:19:50Z,14,ITA
2020,65,Wolves,Premier League,1594.7,15,9,24,0.625,15-9,Man City,1790,1486.5,2026-05-21T19:19:50Z,14,ENG
2020,66,Huesca,La Liga 2,1593.3,21,14,35,0.6,21-14,Almeria,1576.4,1502.1,2026-05-21T19:19:50Z,7,ESP
2020,67,Cardiff,Championship,1592.4,19,11,30,0.633,19-11,Leeds,1730.6,1492.6,2026-05-21T19:19:50Z,16,ENG
2020,68,Lyon,Ligue 1,1591.4,11,10,21,0.524,11-10,Bordeaux,1528.5,1514.2,2026-05-21T19:19:50Z,7,FRA
2020,69,Guimaraes,Primeira Liga,1585.8,13,10,23,0.565,13-10,Famalicao,1575.9,1504.5,2026-05-21T19:19:50Z,11,POR
2020,70,Sivasspor,Süper Lig,1581.1,17,8,25,0.68,17-8,Trabzonspor,1768.5,1479.1,2026-05-21T19:19:50Z,9,TUR
