date,home,away,winner,loser,winner_pts,loser_pts,end_type
2015-10-24,Buffalo Sabres,New Jersey Devils,New Jersey Devils,Buffalo Sabres,4,3,REG
2015-10-24,Montreal Canadiens,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,5,3,REG
2015-10-24,Ottawa Senators,Arizona Coyotes,Arizona Coyotes,Ottawa Senators,4,1,REG
2015-10-24,Philadelphia Flyers,New York Rangers,Philadelphia Flyers,New York Rangers,3,2,SO
2015-10-25,St. Louis Blues,New York Islanders,New York Islanders,St. Louis Blues,3,2,OT
2015-10-25,Nashville Predators,Pittsburgh Penguins,Pittsburgh Penguins,Nashville Predators,2,1,OT
2015-10-25,Dallas Stars,Florida Panthers,Florida Panthers,Dallas Stars,6,2,REG
2015-10-25,Colorado Avalanche,Columbus Blue Jackets,Columbus Blue Jackets,Colorado Avalanche,4,3,REG
2015-10-25,Vancouver Canucks,Detroit Red Wings,Detroit Red Wings,Vancouver Canucks,3,2,OT
2015-10-25,San Jose Sharks,Carolina Hurricanes,San Jose Sharks,Carolina Hurricanes,5,2,REG
2015-10-25,Winnipeg Jets,Minnesota Wild,Winnipeg Jets,Minnesota Wild,5,4,REG
2015-10-25,New York Rangers,Calgary Flames,New York Rangers,Calgary Flames,4,1,REG
2015-10-26,Edmonton Oilers,Los Angeles Kings,Los Angeles Kings,Edmonton Oilers,3,2,REG
2015-10-26,New York Islanders,Calgary Flames,New York Islanders,Calgary Flames,4,0,REG
2015-10-26,Toronto Maple Leafs,Arizona Coyotes,Arizona Coyotes,Toronto Maple Leafs,4,3,REG
2015-10-27,Boston Bruins,Arizona Coyotes,Boston Bruins,Arizona Coyotes,4,0,REG
2015-10-27,New Jersey Devils,Columbus Blue Jackets,Columbus Blue Jackets,New Jersey Devils,3,1,REG
2015-10-27,Philadelphia Flyers,Buffalo Sabres,Buffalo Sabres,Philadelphia Flyers,4,3,OT
2015-10-27,Detroit Red Wings,Carolina Hurricanes,Carolina Hurricanes,Detroit Red Wings,3,1,REG
2015-10-27,Florida Panthers,Colorado Avalanche,Florida Panthers,Colorado Avalanche,4,1,REG
2015-10-28,St. Louis Blues,Tampa Bay Lightning,St. Louis Blues,Tampa Bay Lightning,2,0,REG
2015-10-28,Minnesota Wild,Edmonton Oilers,Minnesota Wild,Edmonton Oilers,4,3,REG
2015-10-28,Winnipeg Jets,Los Angeles Kings,Los Angeles Kings,Winnipeg Jets,4,1,REG
2015-10-28,Dallas Stars,Anaheim Ducks,Dallas Stars,Anaheim Ducks,4,3,REG
2015-10-28,Vancouver Canucks,Montreal Canadiens,Vancouver Canucks,Montreal Canadiens,5,1,REG
2015-10-28,Ottawa Senators,Calgary Flames,Ottawa Senators,Calgary Flames,5,4,SO
2015-10-29,Washington Capitals,Pittsburgh Penguins,Pittsburgh Penguins,Washington Capitals,3,1,REG
2015-10-29,San Jose Sharks,Nashville Predators,Nashville Predators,San Jose Sharks,2,1,REG
2015-10-29,New York Islanders,Carolina Hurricanes,Carolina Hurricanes,New York Islanders,3,2,OT
2015-10-29,Philadelphia Flyers,New Jersey Devils,New Jersey Devils,Philadelphia Flyers,4,1,REG
2015-10-29,Pittsburgh Penguins,Buffalo Sabres,Pittsburgh Penguins,Buffalo Sabres,4,3,REG
2015-10-29,Tampa Bay Lightning,Colorado Avalanche,Colorado Avalanche,Tampa Bay Lightning,2,1,REG
2015-10-30,St. Louis Blues,Anaheim Ducks,St. Louis Blues,Anaheim Ducks,2,1,REG
2015-10-30,Winnipeg Jets,Chicago Blackhawks,Winnipeg Jets,Chicago Blackhawks,3,1,REG
2015-10-30,Dallas Stars,Vancouver Canucks,Dallas Stars,Vancouver Canucks,4,3,OT
2015-10-30,Edmonton Oilers,Montreal Canadiens,Edmonton Oilers,Montreal Canadiens,4,3,REG
2015-10-30,Buffalo Sabres,Philadelphia Flyers,Buffalo Sabres,Philadelphia Flyers,3,1,REG
2015-10-30,New York Rangers,Toronto Maple Leafs,New York Rangers,Toronto Maple Leafs,3,1,REG
2015-10-30,Washington Capitals,Columbus Blue Jackets,Washington Capitals,Columbus Blue Jackets,2,1,REG
2015-10-30,Carolina Hurricanes,Colorado Avalanche,Carolina Hurricanes,Colorado Avalanche,3,2,REG
2015-10-30,Detroit Red Wings,Ottawa Senators,Ottawa Senators,Detroit Red Wings,3,1,REG
2015-10-30,Florida Panthers,Boston Bruins,Boston Bruins,Florida Panthers,3,1,REG
2015-10-31,Minnesota Wild,Chicago Blackhawks,Minnesota Wild,Chicago Blackhawks,5,4,REG
2015-10-31,Calgary Flames,Montreal Canadiens,Montreal Canadiens,Calgary Flames,6,2,REG
2015-10-31,Arizona Coyotes,Vancouver Canucks,Vancouver Canucks,Arizona Coyotes,4,3,REG
2015-10-31,New Jersey Devils,New York Islanders,New Jersey Devils,New York Islanders,3,2,SO
2015-10-31,Dallas Stars,San Jose Sharks,Dallas Stars,San Jose Sharks,5,3,REG
2015-10-31,Los Angeles Kings,Nashville Predators,Los Angeles Kings,Nashville Predators,4,3,OT
2015-10-31,Toronto Maple Leafs,Pittsburgh Penguins,Pittsburgh Penguins,Toronto Maple Leafs,4,0,REG
2015-10-31,Ottawa Senators,Detroit Red Wings,Detroit Red Wings,Ottawa Senators,5,3,REG
2015-10-31,Tampa Bay Lightning,Boston Bruins,Boston Bruins,Tampa Bay Lightning,3,1,REG
2015-10-31,Florida Panthers,Washington Capitals,Washington Capitals,Florida Panthers,2,1,OT
2015-10-31,Columbus Blue Jackets,Winnipeg Jets,Winnipeg Jets,Columbus Blue Jackets,3,2,REG
2015-11-01,St. Louis Blues,Minnesota Wild,St. Louis Blues,Minnesota Wild,3,2,OT
2015-11-01,Edmonton Oilers,Calgary Flames,Calgary Flames,Edmonton Oilers,5,4,REG
2015-11-01,Colorado Avalanche,San Jose Sharks,San Jose Sharks,Colorado Avalanche,4,3,REG
2015-11-01,Carolina Hurricanes,Tampa Bay Lightning,Tampa Bay Lightning,Carolina Hurricanes,4,3,REG
2015-11-02,Montreal Canadiens,Winnipeg Jets,Montreal Canadiens,Winnipeg Jets,5,1,REG
2015-11-02,New York Islanders,Buffalo Sabres,Buffalo Sabres,New York Islanders,2,1,REG
2015-11-02,Anaheim Ducks,Nashville Predators,Anaheim Ducks,Nashville Predators,4,2,REG
