season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2025,237,Rice,C-USA,1100,1,12,13,0.077,1-12,USC,1694.9,1700.7,2026-05-21T03:41:59Z
2025,238,Cornell,NA,1070.7,1,3,4,0.25,1-3,Duke,1883,1786.3,2026-05-21T03:41:59Z
2025,239,St Thomas (MN),NA,1067.3,0,6,6,0,0-6,NA,NA,1598.7,2026-05-21T03:41:59Z
2025,240,SF Austin,NA,1060.5,0,6,6,0,0-6,NA,NA,1556.7,2026-05-21T03:41:59Z
2025,241,Harvard,NA,1053.4,2,10,12,0.167,2-10,Yale,946.7,1512.2,2026-05-21T03:41:59Z
2025,242,Tarleton St,NA,1051.7,0,9,9,0,0-9,NA,NA,1689.7,2026-05-21T03:41:59Z
2025,243,Bradley,NA,1051.6,0,8,8,0,0-8,NA,NA,1635.1,2026-05-21T03:41:59Z
2025,244,Lamar,NA,1043.4,0,5,5,0,0-5,NA,NA,1654.5,2026-05-21T03:41:59Z
2025,245,UMBC,NA,1037.8,1,3,4,0.25,1-3,Maryland,1530.2,1577.1,2026-05-21T03:41:59Z
2025,246,Southern,NA,1036.8,1,5,6,0.167,1-5,AR-Pine Bluff,896.9,1494.8,2026-05-21T03:41:59Z
2025,247,Wichita St,AAC,1034.7,0,9,9,0,0-9,NA,NA,1675.2,2026-05-21T03:41:59Z
2025,248,Akron,MAC,1032.1,1,7,8,0.125,1-7,Purdue,1517,1524.1,2026-05-21T03:41:59Z
2025,249,Bowling Green,MAC,1024.8,0,6,6,0,0-6,NA,NA,1581.8,2026-05-21T03:41:59Z
2025,250,William & Mary,NA,1021.4,0,9,9,0,0-9,NA,NA,1634.2,2026-05-21T03:41:59Z
2025,251,C Arkansas,NA,1009.5,1,3,4,0.25,1-3,Lipscomb,1124.3,1595.2,2026-05-21T03:41:59Z
2025,252,Pepperdine,NA,1004.6,0,12,12,0,0-12,NA,NA,1710,2026-05-21T03:41:59Z
2025,253,Siena,NA,996.5,0,5,5,0,0-5,NA,NA,1528.9,2026-05-21T03:41:59Z
2025,254,Navy,AAC,985.8,1,3,4,0.25,1-3,Army,1102.1,1271.2,2026-05-21T03:41:59Z
2025,255,Niagara,NA,973.3,0,8,8,0,0-8,NA,NA,1571.4,2026-05-21T03:41:59Z
2025,256,Yale,NA,946.7,1,2,3,0.333,1-2,Penn,887.6,998.1,2026-05-21T03:41:59Z
2025,257,Mount St Marys,NA,932,0,7,7,0,0-7,NA,NA,1539,2026-05-21T03:41:59Z
2025,258,AR-Pine Bluff,NA,896.9,0,5,5,0,0-5,NA,NA,1481.1,2026-05-21T03:41:59Z
2025,259,San Francisco,NA,889.7,1,3,4,0.25,1-3,California,1628,1603.3,2026-05-21T03:41:59Z
2025,260,Penn,NA,887.6,0,9,9,0,0-9,NA,NA,1617.8,2026-05-21T03:41:59Z
2025,261,Longwood,NA,882.8,1,3,4,0.25,1-3,Boston College,1607.9,1605.1,2026-05-21T03:41:59Z
2025,262,SIUE,NA,880.8,0,7,7,0,0-7,NA,NA,1503.2,2026-05-21T03:41:59Z
2025,263,Fordham,NA,801,0,8,8,0,0-8,NA,NA,1517.1,2026-05-21T03:41:59Z
2025,264,W Illinois,NA,785.7,1,1,2,0.5,1-1,Iowa,1623,1559.4,2026-05-21T03:41:59Z
2025,265,West Georgia,NA,727.8,0,3,3,0,0-3,NA,NA,1860.6,2026-05-21T03:41:59Z
2025,266,Stony Brook,NA,726.1,0,3,3,0,0-3,NA,NA,1981.4,2026-05-21T03:41:59Z
2025,267,Wagner,NA,725.8,1,3,4,0.25,1-3,Stonehill,326.5,1160.9,2026-05-21T03:41:59Z
2025,268,UT Martin,NA,723.2,0,3,3,0,0-3,NA,NA,1717.5,2026-05-21T03:41:59Z
2025,269,Memphis,AAC,719.8,0,4,4,0,0-4,NA,NA,1936.9,2026-05-21T03:41:59Z
2025,270,G Washington,NA,716.2,0,3,3,0,0-3,NA,NA,1694.9,2026-05-21T03:41:59Z
2025,271,Villanova,NA,711.7,0,3,3,0,0-3,NA,NA,1710.8,2026-05-21T03:41:59Z
2025,272,UMass Lowell,NA,706.7,0,4,4,0,0-4,NA,NA,1607.9,2026-05-21T03:41:59Z
2025,273,Manhattan,NA,705.2,0,3,3,0,0-3,NA,NA,1868.6,2026-05-21T03:41:59Z
2025,274,Towson,NA,703.9,0,3,3,0,0-3,NA,NA,1693.8,2026-05-21T03:41:59Z
2025,275,Tennessee Tech,NA,697.7,0,3,3,0,0-3,NA,NA,1697,2026-05-21T03:41:59Z
2025,276,Butler,NA,696.5,0,4,4,0,0-4,NA,NA,1649.7,2026-05-21T03:41:59Z
2025,277,Pac Lutheran,NA,643.7,1,1,2,0.5,1-1,Washington,1580,1580,2026-05-21T03:41:59Z
2025,278,C Michigan,MAC,552,1,1,2,0.5,1-1,Michigan St,1496.2,1553.3,2026-05-21T03:41:59Z
2025,279,Maine,NA,526.8,1,1,2,0.5,1-1,Boston College,1607.9,1358.1,2026-05-21T03:41:59Z
2025,280,Prairie View,NA,365.4,0,2,2,0,0-2,NA,NA,1901,2026-05-21T03:41:59Z
2025,281,Norfolk St,NA,361.9,0,2,2,0,0-2,NA,NA,1637.6,2026-05-21T03:41:59Z
2025,282,Incarnate Word,NA,361.1,0,2,2,0,0-2,NA,NA,1901,2026-05-21T03:41:59Z
2025,283,S Illinois,NA,361.1,0,2,2,0,0-2,NA,NA,1622.2,2026-05-21T03:41:59Z
2025,284,UNC Asheville,NA,361.1,0,2,2,0,0-2,NA,NA,1755.6,2026-05-21T03:41:59Z
2025,285,NJIT,NA,361,0,2,2,0,0-2,NA,NA,1388.1,2026-05-21T03:41:59Z
2025,286,VMI,NA,359.8,0,2,2,0,0-2,NA,NA,1624,2026-05-21T03:41:59Z
2025,287,Pacific,NA,358.2,0,2,2,0,0-2,NA,NA,1628,2026-05-21T03:41:59Z
2025,288,Mercyhurst,NA,354.2,0,2,2,0,0-2,NA,NA,1574.9,2026-05-21T03:41:59Z
2025,289,Stonehill,NA,326.5,0,2,2,0,0-2,NA,NA,1013.4,2026-05-21T03:41:59Z
2025,290,Lafayette,NA,321.6,1,0,1,1,1-0,Penn State,1604.2,1604.2,2026-05-21T03:41:59Z
2025,291,FDU,NA,93.3,0,1,1,0,0-1,NA,NA,1604.2,2026-05-21T03:41:59Z
2025,292,SE Missouri,NA,92.9,0,1,1,0,0-1,NA,NA,1922.7,2026-05-21T03:41:59Z
2025,293,Alcorn St,NA,92.6,0,1,1,0,0-1,NA,NA,2005.2,2026-05-21T03:41:59Z
2025,294,Ohio,MAC,92.6,0,1,1,0,0-1,NA,NA,1772.8,2026-05-21T03:41:59Z
2025,295,Merrimack,NA,92.1,0,1,1,0,0-1,NA,NA,1607.9,2026-05-21T03:41:59Z
2025,296,Seton Hall,NA,91.9,0,1,1,0,0-1,NA,NA,1604.5,2026-05-21T03:41:59Z
2025,297,UMass,NA,91.9,0,1,1,0,0-1,NA,NA,1607.9,2026-05-21T03:41:59Z
2025,298,Augustana (IL),NA,91.8,0,1,1,0,0-1,NA,NA,1623,2026-05-21T03:41:59Z
2025,299,Aurora,NA,91.7,0,1,1,0,0-1,NA,NA,1495.9,2026-05-21T03:41:59Z
2025,300,So Indiana,NA,91.7,0,1,1,0,0-1,NA,NA,1922.7,2026-05-21T03:41:59Z
2025,301,Loras,NA,91.5,0,1,1,0,0-1,NA,NA,1623,2026-05-21T03:41:59Z
