season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,baseline_elo,baseline_date,elo_change
2022,57,Xavier,Big East,1721.5,9,12,21,0.429,9-12,UConn,1836.2,1741.5,NA,2026-09-07T04:02:07Z,1721.5,2026-09-03,0
2022,58,Campbell,Big South,1714.2,14,11,25,0.56,14-11,NC State,1807,1655.9,NA,2026-09-07T04:02:07Z,1714.2,2026-09-03,0
2022,59,Santa Barbara,Big West,1712.1,16,9,25,0.64,16-9,Oregon,1763.8,1537.2,NA,2026-09-07T04:02:07Z,1712.1,2026-09-03,0
2022,60,Troy,Sun Belt,1709.9,5,4,9,0.556,5-4,Coastal,1805.7,1747.2,NA,2026-09-07T04:02:07Z,1709.9,2026-09-03,0
2022,61,California,Pac-12,1708.9,29,27,56,0.518,29-27,Oregon St,1844,1634.5,NA,2026-09-07T04:02:07Z,1708.9,2026-09-03,0
2022,62,Belmont,MVC,1707.9,5,4,9,0.556,5-4,Purdue,1484.2,1643.3,NA,2026-09-07T04:02:07Z,1707.9,2026-09-03,0
2022,63,Penn,Ivy League,1703.9,3,4,7,0.429,3-4,Texas A&M,2006.6,1879.2,NA,2026-09-07T04:02:07Z,1703.9,2026-09-03,0
2022,64,Gonzaga,WCC,1698.4,29,17,46,0.63,29-17,Oklahoma St,1863.9,1597,NA,2026-09-07T04:02:07Z,1698.4,2026-09-03,0
2022,65,Fullerton,Big West,1693.2,4,7,11,0.364,4-7,Stanford,1942.5,1759.2,NA,2026-09-07T04:02:07Z,1693.2,2026-09-03,0
2022,66,Arizona,Pac-12,1690.6,38,25,63,0.603,38-25,Oklahoma,1979.5,1640,NA,2026-09-07T04:02:07Z,1690.6,2026-09-03,0
2022,67,Air Force,Mountain West,1688.5,11,9,20,0.55,11-9,Louisiana Tech,1883.5,1576.6,NA,2026-09-07T04:02:07Z,1688.5,2026-09-03,0
2022,68,Oral Roberts,Summit,1687.5,7,8,15,0.467,7-8,Ole Miss,2100.2,1740.5,NA,2026-09-07T04:02:07Z,1687.5,2026-09-03,0
2022,69,UAB,C-USA,1681.7,8,6,14,0.571,8-6,Southern Miss,1871.6,1711.7,NA,2026-09-07T04:02:07Z,1681.7,2026-09-03,0
2022,70,UC Irvine,Big West,1679.2,10,9,19,0.526,10-9,Oregon St,1844,1694.2,NA,2026-09-07T04:02:07Z,1679.2,2026-09-03,0
2022,71,Hawai'i,Mountain West,1678.6,5,8,13,0.385,5-8,Rutgers,1732.6,1741.2,NA,2026-09-07T04:02:07Z,1678.6,2026-09-03,0
2022,72,Iowa,Big Ten,1676.9,34,19,53,0.642,34-19,Texas Tech,1776.9,1526.1,NA,2026-09-07T04:02:07Z,1676.9,2026-09-03,0
2022,73,Missouri St,MVC,1673.6,11,10,21,0.524,11-10,Arkansas,1995,1657.5,NA,2026-09-07T04:02:07Z,1673.6,2026-09-03,0
2022,74,Houston,AAC,1673.5,4,5,9,0.444,4-5,Texas A&M,2006.6,1696.9,NA,2026-09-07T04:02:07Z,1673.5,2026-09-03,0
2022,75,West Virginia,Big 12,1672.8,31,22,53,0.585,31-22,Oklahoma,1979.5,1620,NA,2026-09-07T04:02:07Z,1672.8,2026-09-03,0
2022,76,Washington St,Pac-12,1669.8,26,26,52,0.5,26-26,Texas A&M,2006.6,1627.6,NA,2026-09-07T04:02:07Z,1669.8,2026-09-03,0
2022,77,Mississippi St,SEC,1664.5,26,30,56,0.464,26-30,Ole Miss,2100.2,1706.6,NA,2026-09-07T04:02:07Z,1664.5,2026-09-03,0
2022,78,McNeese,WAC/Southland,1663.1,4,3,7,0.571,4-3,SE Louisiana,1739.2,1605.1,NA,2026-09-07T04:02:07Z,1663.1,2026-09-03,0
2022,79,UC San Diego,Big West,1659.7,5,3,8,0.625,5-3,UConn,1836.2,1679.8,NA,2026-09-07T04:02:07Z,1659.7,2026-09-03,0
2022,80,Harvard,Ivy League,1658.6,2,4,6,0.333,2-4,UCLA,1791.9,1789.5,NA,2026-09-07T04:02:07Z,1658.6,2026-09-03,0
2022,81,Saint Mary's,WCC,1655.4,3,4,7,0.429,3-4,Stanford,1942.5,1738.2,NA,2026-09-07T04:02:07Z,1655.4,2026-09-03,0
2022,82,Evansville,MVC,1653.6,10,10,20,0.5,10-10,Dallas Baptist,1638.4,1578.7,NA,2026-09-07T04:02:07Z,1653.6,2026-09-03,0
2022,83,Liberty,C-USA,1652.3,20,15,35,0.571,20-15,North Carolina,1961,1673,NA,2026-09-07T04:02:07Z,1652.3,2026-09-03,0
2022,84,Georgetown,Big East,1646,4,7,11,0.364,4-7,UConn,1836.2,1778.7,NA,2026-09-07T04:02:07Z,1646,2026-09-03,0
2022,85,Dallas Baptist,AAC,1638.4,16,19,35,0.457,16-19,Oklahoma,1979.5,1685.9,NA,2026-09-07T04:02:07Z,1638.4,2026-09-03,0
2022,86,UNC Greensboro,SoCon,1638.1,7,9,16,0.438,7-9,South Carolina,1757,1655.4,NA,2026-09-07T04:02:07Z,1638.1,2026-09-03,0
2022,87,E Illinois,ASUN/OVC,1634.1,2,1,3,0.667,2-1,Illinois,1624.2,1554.9,NA,2026-09-07T04:02:07Z,1634.1,2026-09-03,0
2022,88,Washington,Pac-12,1631.7,30,26,56,0.536,30-26,Stanford,1942.5,1569.9,NA,2026-09-07T04:02:07Z,1631.7,2026-09-03,0
2022,89,E Kentucky,ASUN/OVC,1631.2,4,3,7,0.571,4-3,Kentucky,1894.8,1666.1,NA,2026-09-07T04:02:07Z,1631.2,2026-09-03,0
2022,90,UCF,AAC,1631.2,5,7,12,0.417,5-7,Ole Miss,2100.2,1714.1,NA,2026-09-07T04:02:07Z,1631.2,2026-09-03,0
2022,91,Duke,ACC,1628,22,32,54,0.407,22-32,North Carolina,1961,1673.3,NA,2026-09-07T04:02:07Z,1628,2026-09-03,0
